"Fecha","Region Hidrologica","Nombre Río","Aportes Caudal m3/s","Aportes Energía kWh","Aportes %"
2018-01-01,"ANTIOQUIA","A. SAN LORENZO",20.177,4594500,0.836885245901639
2018-01-01,"ANTIOQUIA","CONCEPCION",5.617,1573700,1.11609929078014
2018-01-01,"ANTIOQUIA","DESV. EEPPM (NEC,PAJ,DOL)",7.087,1985600,0.898461538461538
2018-01-01,"ANTIOQUIA","DESV. MANSO",8.917,424200,0.815769230769231
2018-01-01,"ANTIOQUIA","GRANDE",25.773,9005600,1.14284263959391
2018-01-01,"ANTIOQUIA","GUADALUPE",12.379,3468300,0.91271052631579
2018-01-01,"ANTIOQUIA","GUATAPE",42.5,7023400,1.72990147783251
2018-01-01,"ANTIOQUIA","MIEL I",72.928,3469400,0.856641975308642
2018-01-01,"ANTIOQUIA","NARE",26.998,8991800,0.693811728395062
2018-01-01,"ANTIOQUIA","PORCE II",53.084,6907100,0.952703448275862
2018-01-01,"ANTIOQUIA","PORCE III",3.049,233500,0.154635761589404
2018-01-01,"ANTIOQUIA","SAN CARLOS",25.972,3403200,1.4606008583691
2018-01-01,"ANTIOQUIA","TENCHE",2.314,648300,0.876081081081081
2018-01-01,"CARIBE","SINU URRA",158.99,1698000,0.953932584269663
2018-01-01,"CENTRO","AMOYA",17.928,2091500,1.34935483870968
2018-01-01,"CENTRO","BETANIA CP",173.82,2482100,1.25358585858586
2018-01-01,"CENTRO","BOGOTA N.R.",47.33,18634700,5.38575144508671
2018-01-01,"CENTRO","EL QUIMBO",179.31,7191000,1.25716783216783
2018-01-01,"CENTRO","PRADO",140.52,1639700,3.03648148148148
2018-01-01,"CENTRO","SOGAMOSO",221.955,6950000,1.11916264090177
2018-01-01,"ORIENTE","BATA",28.05,4646700,1.80805447470817
2018-01-01,"ORIENTE","CHUZA",2.96,1165400,1.07907407407407
2018-01-01,"ORIENTE","GUAVIO",36.71,8693700,2.05040094339623
2018-01-01,"RIOS ESTIMADOS","OTROS RIOS (ESTIMADOS)",NA,11477300,1.26262926292629
2018-01-01,"VALLE","ALTOANCHICAYA",52.74,5619100,1.24868888888889
2018-01-01,"VALLE","CALIMA",19.33,865200,1.76571428571429
2018-01-01,"VALLE","CAUCA SALVAJINA",225.5,5328100,1.38752604166667
2018-01-01,"VALLE","DIGUA",32.76,418400,1.23058823529412
2018-01-01,"VALLE","FLORIDA II",13.24,264800,2.03692307692308
2018-01-02,"ANTIOQUIA","A. SAN LORENZO",29.3,6671900,1.21528233151184
2018-01-02,"ANTIOQUIA","CONCEPCION",6.665,1867400,1.32439716312057
2018-01-02,"ANTIOQUIA","DESV. EEPPM (NEC,PAJ,DOL)",9.596,2688600,1.21656108597285
2018-01-02,"ANTIOQUIA","DESV. MANSO",10.805,514000,0.988461538461539
2018-01-02,"ANTIOQUIA","GRANDE",30.191,10549400,1.33875634517767
2018-01-02,"ANTIOQUIA","GUADALUPE",22.14,6203100,1.63239473684211
2018-01-02,"ANTIOQUIA","GUATAPE",40.84,6749100,1.66233990147783
2018-01-02,"ANTIOQUIA","MIEL I",77.774,3699900,0.913555555555556
2018-01-02,"ANTIOQUIA","NARE",37.173,12380600,0.955293209876543
2018-01-02,"ANTIOQUIA","PORCE II",90.589,11787100,1.62580689655172
2018-01-02,"ANTIOQUIA","PORCE III",19.937,1526900,1.01119205298013
2018-01-02,"ANTIOQUIA","SAN CARLOS",23.593,3091500,1.32682403433476
2018-01-02,"ANTIOQUIA","TENCHE",3.847,1077800,1.45648648648649
2018-01-02,"CARIBE","SINU URRA",207.51,2216200,1.24505617977528
2018-01-02,"CENTRO","AMOYA",15.699,1831500,1.18161290322581
2018-01-02,"CENTRO","BETANIA CP",273.57,3906600,1.9730303030303
2018-01-02,"CENTRO","BOGOTA N.R.",10.54,4149800,1.19936416184971
2018-01-02,"CENTRO","EL QUIMBO",232.27,9315000,1.6284965034965
2018-01-02,"CENTRO","PRADO",65.47,764000,1.41481481481481
2018-01-02,"CENTRO","SOGAMOSO",243.404,7621700,1.2273268921095
2018-01-02,"ORIENTE","BATA",27.24,4512500,1.75583657587549
2018-01-02,"ORIENTE","CHUZA",2.92,1149700,1.06453703703704
2018-01-02,"ORIENTE","GUAVIO",30.77,7287000,1.7186320754717
2018-01-02,"RIOS ESTIMADOS","OTROS RIOS (ESTIMADOS)",NA,12146100,1.33620462046205
2018-01-02,"VALLE","ALTOANCHICAYA",47.09,5017100,1.11491111111111
2018-01-02,"VALLE","CALIMA",19.37,867000,1.76938775510204
2018-01-02,"VALLE","CAUCA SALVAJINA",250.27,5913400,1.53994791666667
2018-01-02,"VALLE","DIGUA",29.71,379400,1.11588235294118
2018-01-02,"VALLE","FLORIDA II",14.84,296800,2.28307692307692
2018-01-03,"ANTIOQUIA","A. SAN LORENZO",30.241,6886200,1.25431693989071
2018-01-03,"ANTIOQUIA","CONCEPCION",8.198,2296900,1.62900709219858
2018-01-03,"ANTIOQUIA","DESV. EEPPM (NEC,PAJ,DOL)",10.037,2812100,1.27244343891403
