"Date","Henry Hub Natural Gas Spot Price (Dollars per Million Btu)"
2018-01-01,3.69
2018-01-02,6.24
2018-01-03,6.24
2018-01-04,4.65
2018-01-05,4.65
2018-01-06,4.65
2018-01-07,4.65
2018-01-08,2.89
2018-01-09,2.93
2018-01-10,3.16
2018-01-11,3.16
2018-01-12,4.06
2018-01-13,4.06
2018-01-14,4.06
2018-01-15,4.06
2018-01-16,5.46
2018-01-17,3.92
2018-01-18,3.92
2018-01-19,3.2
2018-01-20,3.2
2018-01-21,3.2
2018-01-22,3.13
2018-01-23,3.35
2018-01-24,3.54
2018-01-25,3.54
2018-01-26,3.58
2018-01-27,3.58
2018-01-28,3.58
2018-01-29,3.6
2018-01-30,3.6
2018-01-31,3.34
2018-02-01,3.06
2018-02-02,2.91
2018-02-03,2.91
2018-02-04,2.91
2018-02-05,2.85
2018-02-06,2.75
2018-02-07,2.74
2018-02-08,2.74
2018-02-09,2.66
2018-02-10,2.66
2018-02-11,2.66
2018-02-12,2.6
2018-02-13,2.58
2018-02-14,2.53
2018-02-15,2.49
2018-02-16,2.49
2018-02-17,2.49
2018-02-18,2.49
2018-02-19,2.49
2018-02-20,2.61
2018-02-21,2.65
2018-02-22,2.65
2018-02-23,2.58
2018-02-24,2.58
2018-02-25,2.58
2018-02-26,2.6
2018-02-27,2.59
2018-02-28,2.66
2018-03-01,2.67
2018-03-02,2.67
2018-03-03,2.67
2018-03-04,2.67
2018-03-05,2.7
2018-03-06,2.7
2018-03-07,2.8
2018-03-08,2.8
2018-03-09,2.71
2018-03-10,2.71
2018-03-11,2.71
2018-03-12,2.78
2018-03-13,2.76
2018-03-14,2.69
2018-03-15,2.7
2018-03-16,2.62
2018-03-17,2.62
2018-03-18,2.62
2018-03-19,2.62
2018-03-20,2.71
2018-03-21,2.74
2018-03-22,2.62
2018-03-23,2.58
2018-03-24,2.58
2018-03-25,2.58
2018-03-26,2.63
2018-03-27,2.6
2018-03-28,2.64
2018-03-29,2.81
2018-03-30,2.81
2018-03-31,2.81
2018-04-01,2.81
2018-04-02,2.75
2018-04-03,2.75
2018-04-04,2.81
2018-04-05,2.81
2018-04-06,2.81
2018-04-07,2.81
